q11,q12,q21,q22,r1,r2,r3,q_sep,q_edu
0.06630272469145149,0.4480289430489784,0.4441562643122886,0.38029365511370206,0.005958888541291608,0.12800579706319937,0.39009376134682905,0.3446540172665999,0.7931769174715206
0.7423893897687653,0.030554054683356566,0.6326857794482441,0.38097527775667805,0.13207374002371647,0.2067202861068257,0.2529561105020012,0.5120268000391444,0.8629161543909427
0.4067979581211899,0.06655928124795109,0.6400878470356801,0.2767770112857426,0.3470493141983304,0.22109667052373583,0.4528084983216074,0.5798035191821264,0.6691452497192889
0.10935234874215616,0.14390502116475187,0.6299709370257182,0.06106641245551048,0.06090269604441021,0.25105917448173254,0.33174399621964024,0.34446092747501356,0.54598752863095
0.046314919607645444,0.035521694481306695,0.5210963383352226,0.10742959532887109,0.056851413166712654,0.283502167514865,0.9480593784251279,0.34098577963606086,0.5953531717428787
0.2565416277296746,0.04690892450643697,0.43197420633565276,0.14520232786166531,0.3850201644940152,0.044323337943073304,0.6335024129912863,0.6710107042232875,0.5442122375608303
0.6563622186414024,0.06320543839032046,0.4029226655015744,0.02984888903214067,0.1770957275682239,0.29974357303492083,0.7380792773036424,0.6124712058130398,0.5464926946889366
0.12388457680630971,0.2805362093519513,0.8059193185365693,0.47955252841222884,0.10214660182438609,0.4437282278777397,0.05921066189354873,0.3760858803071628,0.7842248681869488
0.5539821862507596,0.09658628751023202,0.41258691453749663,0.26387350672084253,0.3702901038715394,0.6298078667018319,0.5167365000259526,0.5539737782755532,0.6226748908472427
0.7068583281074958,0.08979642439085089,0.5979962253828398,0.061099280359539154,0.019200384812630134,0.1794495841547895,0.7435494441631514,0.5182181231323312,0.6737673272536029
0.4097272806259321,0.11104307122767836,0.31860727104574804,0.09281718265099925,0.11343073887920854,0.6508567914969433,0.3724826359788965,0.33383122039300717,0.6404114400953635
0.10569009137055119,0.11691237797935612,0.6049607784738419,0.5266205972128757,0.11766380066968472,0.16466191067776803,0.3470413230738171,0.43122798775450283,0.7700348007452578
0.5365173826921673,0.26806369246531037,0.6169013395851962,0.4911323741567466,0.06675917613941396,0.2763126449024039,0.3142906453128973,0.5284641664243391,0.8730922902792997
0.15329026567085346,0.0487373455201659,0.4976414913440309,0.4129030116022627,0.25218100737007865,0.09978127826368854,0.3968934226955958,0.478158694480774,0.7524478675411054
0.23748187644417507,0.11351824413965864,0.6682935735970165,0.37256491001579095,0.06639524185907435,0.36554071782744757,0.0664936620103096,0.3956874174416444,0.7485061350489456
0.14085583876510233,0.16234260754196614,0.677076255655011,0.47578534375045,0.0986552117399051,0.2300409535285799,0.4136597741759044,0.31384475549583124,0.8356490079672838
0.387081097805803,0.04508186691492961,0.41808242406507823,0.09010192946998674,0.39537538537089134,0.7482683343602968,0.8273125295068287,0.461268840377561,0.5228733230069599
0.3239206520534019,0.3223711834601661,0.35397214172779334,0.15609266113381393,0.002423232110549645,0.32626017247114825,0.5328396790234539,0.3602029108539808,0.7079315376238577
0.5137299900643801,0.3460339610773476,0.8588959628575538,0.5112013011611675,0.04214911475603716,0.15387159103234038,0.4141635732348472,0.5943713588359112,0.8583426172916993
0.790977722535552,0.28700045002570085,0.9186439555469564,0.5698242813673474,0.15698300110629893,0.4956770115114577,0.6799258880311854,0.6197379019927822,0.9124159362536781
0.31105098131508846,0.007485635453148653,0.5344056909175285,0.07932358922994442,0.07523486189967042,0.012063585911947894,0.8163813029198627,0.5683171396884656,0.5709840282277243
0.35719777878491543,0.09347012542640572,0.5337832875519876,0.1766632273426979,0.07383253797631327,0.3185325867803247,0.3614645086269813,0.2893891765028881,0.771585189142706
