q11,q12,q21,q22,q_sep,q_edu
0.27793195298793827,0.38866909446645304,0.5417772925553401,0.10018770010498224,0.41752317147434226,0.6490398614385968
0.5557430195206504,0.24392320313128324,0.7417258556781552,0.776659072597042,0.5633944152356264,0.8788208502241348
0.18924820512835383,0.48436152612345695,0.48684113343790336,0.46432483600407126,0.4377591561250789,0.7778893237436258
0.3701379455209204,0.0012347196981935538,0.45665419603932333,0.453269570173505,0.5283185552847736,0.7114892477685693
0.25022655105677194,0.6352437426098556,0.7436835132655722,0.35143747479758336,0.3806823252597932,0.7517214183516281
0.13064165324368804,0.11765175197061928,0.11056210975922509,0.043821627331815494,0.22719645921685816,0.6607281918638221
0.46896713932620193,0.013943960533204347,0.6143142296476706,0.7379307084032295,0.6387111067503859,0.8128591696882173
0.2372887274972849,0.11125974464997457,0.3730843222215249,0.0035349528049135603,0.21467549578567624,0.6555853386854049
0.3110565114682382,0.8614975603606291,0.6144600006120502,0.3321521418148522,0.43798454950131227,0.7795782476564193
0.4014004905018489,0.18453002128913865,0.7934962015447857,0.261739630423236,0.5639851917614858,0.6716961705155576
0.7457618588252487,0.06651861053092845,0.7600944343278117,0.6757120660351813,0.6898757079481789,0.8351680934774476
0.0821064318618483,0.4274060768109118,0.6340232728094531,0.03666314243503699,0.2812431570838324,0.6628771479827785
0.6946220001336331,0.4921625442768045,0.7784689297111606,0.7341405090291733,0.6911499329944831,0.9169917314998104
0.5141414092614327,0.22301416794412265,0.601772100781122,0.6958082812188087,0.5971966021707371,0.8733468406238297
0.5397912682148647,0.14594251515949863,0.3714984382779375,0.15480377827229408,0.4684825292261975,0.7422577420239147
0.12666804003210674,0.14602207307187065,0.6642110218875955,0.3362825666382018,0.24369650014743094,0.7220564439571344
0.3263081448351568,0.7000576076595617,0.8003345400396518,0.04164141628902407,0.41954192239634314,0.6524259288758959
0.3319266613518703,0.02718228882761331,0.23903678519221572,0.2544251166057031,0.3224226529375369,0.6491769438833243
0.6781697286646609,0.16718010582935472,0.453458361275217,0.15155444579617294,0.8236801494910788,0.63269405460411
0.1763983571311517,0.0868388920983244,0.5746211966492121,0.34568429955972957,0.2493517206017387,0.7986590482258207
0.42606503140859653,0.06074783339619294,0.5669733747499941,0.1812415767276604,0.5283759481512875,0.706867625614152
0.8320812984540441,0.33433816486660106,0.8798046293001955,0.5704930608541836,0.7395104373149975,0.8886264917224332
0.672012474483016,0.3096230186244425,0.71797976796956,0.3113973773264328,0.7320848024689124,0.7481785059546562
0.4493370438324896,0.23188099512149163,0.7314556396718543,0.019491837631771203,0.5451940937043853,0.6561399382570358
0.1625976795146279,0.006559259840470899,0.29550416640781363,0.6428826455013957,0.32140993077776403,0.7847535029825075
0.4673979792219827,0.07826810740260914,0.49140337561076675,0.8369742585896378,0.4259606605392441,0.8650298262735823
0.2944953684817253,0.4892825877741357,0.13129799748287085,0.008539953984532556,0.4130292481427563,0.6573265276408186
0.6726178797618583,0.2212566044489198,0.8444314279347637,0.37717540672942684,0.6276960140801976,0.845074946269642
0.09368805521610091,0.733217719112883,0.40867118869852725,0.8273850610132226,0.30615112965224656,0.9292858722939492
0.4277270188089194,0.17538205859491085,0.5585728046271127,0.28071213107270576,0.3983330054844908,0.8109397367464901
0.0900270547157126,0.3544083705167931,0.18345667380730846,0.09409780484846841,0.21369733860402074,0.6718868709947935
0.19649879245616053,0.17033449651899613,0.4730405461508762,0.7078700375447529,0.1972283103947312,0.826167337367733
0.3257522347127453,0.16629941906874768,0.6388535823578021,0.642640467484852,0.4758392707761553,0.8364740796133354
0.13328797796271386,0.2235476518941839,0.3216704374852174,0.22527982154976267,0.2051282912856356,0.785876191772703
0.38839194633386664,0.29353337046376116,0.43620917928691705,0.06154438511692939,0.37100818311415884,0.6855506080451363
0.7542019680946779,0.02944802354028697,0.7748814355852741,0.5430298960749322,0.8606184221341436,0.7754304997022591
0.5134691556130264,0.19480659029956438,0.9504863328403625,0.3732003062595054,0.5387866313782415,0.8154424910189232
0.04320643121362866,0.12216471593506673,0.2367404566266187,0.7003427545677414,0.1210779265802212,0.8647284917984152
0.4843334314557932,0.33684096376993955,0.3206315149292156,0.3069945996505046,0.45542500650608253,0.7028839557476753
0.9203871718634203,0.7859056790400522,0.7147947694009003,0.425368346661253,0.9264067039400607,0.8036986175233138
0.3866297763745091,0.40757874126675675,0.7653258030288338,0.12029297945477846,0.5026120463232394,0.691775712781067
0.031891015645411525,0.09189136625584648,0.0505834166921324,0.1837450766627382,0.23602231050908296,0.6545958869435504
